name,room,position,price,url,3월 19일,pic
에스쁘아풀빌라,Suite102,경상도,"2인/6인, 33만",https://trip.coupang.com/tp/products/332999066,O,영민픽
인갤러리풀빌라,101,경상도,"2인/6인, 40만",https://trip.coupang.com/tp/products/265615402,O,영민픽
체리블라썸풀빌라펜션,루프탑풀빌라#2,경상도,"2인/5인, 35만",https://trip.coupang.com/tp/products/264123845,O,영민픽
구룡포2021풀빌라펜션,풀빌라502호,경상도,"2인/10인, 40만",https://trip.coupang.com/tp/products/10000000579166,O,영민픽
비치드웨일풀빌라펜션,1월의 선물,경상도,"2인/8인, 69만",https://trip.coupang.com/tp/products/231618610,O,새하픽
마린테라스풀빌라펜션,3Ocean,전남 여수,"2인/6인, 47만",https://trip.coupang.com/tp/products/179480516,O,새하픽
데이토나풀빌라,플래티넘 302,경상도,"2인/10인, 36만",http://www.tmon.co.kr/deal/5284958574,O,새하픽
감포 비치힐풀빌라 펜션,202호,경상도,"6인/12인, 43만",http://www.tmon.co.kr/deal/8781068130,O,새하픽
더뷰1151풀빌라,풀빌라03,경상도,"2인/6인, 71만",http://www.theview1151.com/m/villa_03.html,O,숨니픽
더뷰1151풀빌라 (인스타사진),,,,https://www.instagram.com/p/CZExdtjh3Oe/?utm_medium=share_sheet,,
